HOUSEHOLD_ID,IN_TPB,IN_BMC,HOME_STATE_FIPS,HOME_STATE_PUMA,AREA_TYPE,HOME_STATE_COUNTY_FIPS,HOME_TRACT_FIPS,HOME_TPB_TAZ,HOME_BMC_TAZ,HOME_TYPE,MPO_HOME_TYPE,HOME_OWNERSHIP,MPO_HOME_OWNERSHIP,HHSIZE,NUMSTUDENTS,NUMDRIVERS,NUMWORKERS,NUMDISABILITIES,NUMVEHICLE,NUMVEHICLE_TRANSPONDER,NUMBICYCLE,HH_INCOME_DETAILED,MPO_HH_INCOME_DETAILED,HH_INCOME_BROAD,MPO_HH_INCOME_BROAD,TDATE_STRING,TDATE_DOW,HHTRIPS,PACKAGE_DELIVERED,FOOD_DELIVERED,SERVICE_DELIVERED,WTHHFIN,HOME_OWNERSHIP_IMP,HH_INCOME_DETAILED_IMP,NUMDISABILITIES_IMP
180168372,1,0,51,51_10701,1,51107,611015,2345,-9,3,3,1,1,1,1,1,1,0,1,0,0,6,7,2,2,2018-05-15,2,7,0,0,0,90,1,0,1
180168380,1,0,51,51_10703,0,51107,610701,2177,-9,1,1,2,2,2,0,2,2,0,2,1,2,6,7,2,2,2018-06-22,5,7,0,0,0,136,0,0,0
180168421,1,0,24,24_01500,0,24037,876001,3387,-9,3,4,2,2,1,0,1,1,0,1,1,1,7,8,2,2,2018-02-28,3,3,0,0,0,234,0,0,0
180168472,1,0,51,51_51087,0,51061,930704,3647,-9,1,1,1,1,2,0,2,0,1,3,0,0,5,6,2,2,2018-01-22,1,10,0,0,0,122,0,0,0
180168476,1,1,24,24_01003,1,24031,700824,407,1807,1,1,3,4,3,0,3,2,0,2,2,1,7,8,2,2,2018-09-10,1,7,0,0,0,75,0,0,0
180168501,1,1,24,24_00301,0,24021,752204,2911,2896,1,1,1,1,3,1,2,2,0,2,1,0,8,10,2,2,2018-07-27,5,5,0,0,1,194,0,0,0
180168519,1,0,51,51_01302,4,51013,103501,1492,-9,3,5,2,2,1,0,1,1,0,0,0,0,5,6,2,2,2018-12-17,1,3,1,0,0,31,0,0,0
180168536,1,0,51,51_51115,0,51179,010103,3490,-9,1,1,1,1,1,0,1,0,0,1,1,1,7,8,2,2,2018-02-20,2,7,0,0,0,203,0,0,0
180168552,1,0,51,51_51255,1,51510,200302,1558,-9,2,2,2,2,3,1,1,3,0,1,1,1,5,6,2,2,2018-03-29,4,6,0,0,0,124,0,0,0
180168582,1,0,54,54_00400,0,54037,972505,3675,-9,3,5,2,2,1,0,1,0,0,0,0,0,1,2,1,1,2018-09-10,1,2,0,0,0,291,0,0,0
180168613,1,1,24,24_01107,0,24033,801408,807,2207,3,5,2,2,1,0,1,1,0,1,0,0,6,7,2,2,2018-08-31,5,0,0,0,0,230,0,0,0
180168701,1,1,24,24_01102,0,24033,807408,898,2298,3,3,1,1,1,0,1,0,0,1,1,0,2,3,1,1,2018-07-06,5,9,0,0,0,202,0,0,0
180168718,1,1,24,24_00301,0,24021,773500,2878,2863,1,1,1,1,2,0,2,2,0,2,0,1,8,9,2,2,2018-05-04,5,3,0,0,0,134,0,1,0
180168724,1,0,51,51_01302,5,51013,101900,1482,-9,1,1,1,1,1,0,1,1,0,1,1,1,8,10,2,2,2018-02-13,2,5,0,0,0,39,0,0,0
180168770,1,1,24,24_01004,1,24031,705602,640,2040,1,1,1,1,3,1,3,1,0,2,2,4,8,10,2,2,2018-05-01,2,12,0,0,0,97,0,1,0
180168781,1,0,51,51_10701,0,51107,611014,2341,-9,2,2,1,1,2,0,2,2,0,3,2,2,7,8,2,2,2018-02-15,4,7,0,0,0,122,0,1,0
180168850,1,0,51,51_51245,0,51153,901602,2534,-9,2,2,1,1,1,0,1,1,0,1,1,0,5,6,2,2,2018-02-27,2,4,0,0,0,93,0,1,0
180168871,1,1,24,24_01202,13,24003,731311,3068,454,1,-9,1,-9,1,0,0,0,1,0,0,0,1,-9,1,-9,2018-03-14,3,0,0,0,1,238.84319772,0,0,0
180168883,1,1,24,24_01001,1,24031,701304,502,1902,1,1,1,1,7,5,3,3,0,2,2,0,7,8,2,2,2018-03-26,1,11,0,0,0,168,0,0,0
180168894,1,1,24,24_01106,0,24033,801310,1403,2803,1,1,1,1,1,0,1,1,0,3,0,3,7,8,2,2,2018-05-17,4,6,0,0,0,113,0,1,0
180168918,1,0,51,51_51120,0,51177,020204,3580,-9,3,3,1,1,1,0,1,1,0,1,0,0,7,8,2,2,2018-03-09,5,1,0,0,0,179,0,1,0
180168937,1,1,11,11_00105,1,11001,004202,181,1580,3,3,1,1,1,0,1,1,0,0,0,1,7,8,2,2,2018-06-18,1,9,1,0,1,155,0,0,0
180168953,1,0,51,51_51245,1,51683,910202,2631,-9,1,1,1,1,2,0,2,0,0,2,0,0,7,8,2,2,2018-10-18,4,5,0,0,0,37,0,0,0
180168956,1,0,24,24_01600,0,24017,850711,3192,-9,3,5,2,2,1,0,0,0,0,0,0,0,3,4,1,1,2018-04-09,1,0,0,0,0,199,0,1,0
180168960,1,0,51,51_59302,1,51059,420503,2059,-9,3,5,2,2,2,0,2,2,0,2,2,0,8,9,2,2,2018-04-19,4,7,0,0,0,80,0,0,0
180169084,1,1,11,11_00105,1,11001,003700,177,1576,3,5,1,1,2,0,2,2,0,0,0,0,6,7,2,2,2018-04-25,3,9,0,0,0,121,0,0,0
180169094,1,1,11,11_00105,1,11001,010500,371,1770,3,5,2,2,1,0,1,1,0,1,0,1,6,7,2,2,2018-07-06,5,3,0,0,0,156,0,0,0
180169098,1,0,51,51_51255,1,51510,200702,1592,-9,3,5,2,2,1,0,1,1,0,0,0,0,8,9,2,2,2018-01-24,3,4,0,0,0,106,0,0,0
180169105,1,0,51,51_59301,0,51059,451900,2000,-9,1,1,1,1,2,0,2,1,0,2,1,0,7,8,2,2,2018-02-06,2,4,1,0,0,138,0,0,0
180169110,1,0,51,51_59302,0,51059,415800,2068,-9,1,1,1,1,4,2,2,2,0,3,1,2,8,10,2,2,2018-06-04,1,14,0,0,0,275,0,0,0
180169118,1,0,51,51_01302,4,51013,103402,1508,-9,3,5,1,1,1,0,1,1,0,1,1,0,6,7,2,2,2018-10-26,5,3,0,0,0,31,0,0,0
180169122,1,0,51,51_51115,0,51179,010305,3531,-9,3,4,2,2,4,3,1,1,0,1,0,0,4,5,1,1,2018-02-21,3,10,0,0,0,268,0,0,0
180169140,1,0,51,51_51245,1,51683,910301,2637,-9,1,1,1,1,2,0,2,0,0,2,1,0,4,5,1,1,2018-02-23,5,4,0,0,0,37,0,0,0
180169155,1,0,51,51_10701,0,51107,611205,2367,-9,2,2,1,1,1,0,1,1,0,1,1,0,6,7,2,2,2018-04-05,4,4,0,0,0,107,0,0,0
180169161,1,0,51,51_59302,0,51059,421300,2043,-9,2,2,1,1,1,0,1,1,0,1,0,2,7,8,2,2,2018-02-23,5,5,0,0,0,164,0,0,0
180169188,1,1,24,24_01005,0,24031,703212,570,1970,1,1,1,1,2,0,2,0,0,2,2,0,8,9,2,2,2018-10-17,3,9,1,0,0,163,0,0,0
180169201,1,1,11,11_00104,0,11001,009803,340,1739,1,1,1,1,1,0,1,0,1,2,0,1,2,3,1,1,2018-04-25,3,5,0,0,0,94,0,1,0
180169219,1,1,11,11_00105,1,11001,003600,176,1575,3,4,2,2,3,0,3,2,0,0,0,2,7,8,2,2,2018-03-15,4,10,0,0,0,195,0,0,0
